Error: missing newline in C:\Users\InnaPush\Documents\VuGen\Scripts\WebHttpHtml6\Test.dat	[MsgId: MERR-13874]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 25.	[MsgId: MMSG-10545]
Action.c(23): To location "https://vk.com/login.php?act=slogin&to=&s=0&sid=6Le00B8TAAAAACHiybbHy8tMOiJhM5vh88JVtP4c&dif=2&email=inna67rus%40gmail.com"  	[MsgId: MMSG-26693]
Action.c(23): web_submit_form("login.vk.com") was successful, 354 body bytes, 1990 header bytes  	[MsgId: MMSG-26386]
Action.c(32): Notify: Transaction "01_login" ended with a "Pass" status (Duration: 0,3182 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Action.c(35): Notify: Transaction "02_my_page" started.	[MsgId: MMSG-16999]
Action.c(37): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(37): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(44): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(44): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(52): web_url("al_profile.php") started  	[MsgId: MMSG-26355]
Action.c(52): Error -35049: No match found for the requested parameter "hash". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 26.	[MsgId: MMSG-10545]
Action.c(23): To location "https://vk.com/login.php?act=slogin&to=&s=0&sid=6Le00B8TAAAAACHiybbHy8tMOiJhM5vh88JVtP4c&dif=2&email=inna67rus%40gmail.com"  	[MsgId: MMSG-26693]
Action.c(23): web_submit_form("login.vk.com") was successful, 354 body bytes, 1990 header bytes  	[MsgId: MMSG-26386]
Action.c(32): Notify: Transaction "01_login" ended with a "Pass" status (Duration: 0,3695 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Action.c(35): Notify: Transaction "02_my_page" started.	[MsgId: MMSG-16999]
Action.c(37): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(37): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(44): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(44): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(52): web_url("al_profile.php") started  	[MsgId: MMSG-26355]
Action.c(52): Error -35049: No match found for the requested parameter "hash". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 27.	[MsgId: MMSG-10545]
Action.c(23): To location "https://vk.com/login.php?act=slogin&to=&s=0&sid=6Le00B8TAAAAACHiybbHy8tMOiJhM5vh88JVtP4c&dif=2&email=inna67rus%40gmail.com"  	[MsgId: MMSG-26693]
Action.c(23): web_submit_form("login.vk.com") was successful, 354 body bytes, 1990 header bytes  	[MsgId: MMSG-26386]
Action.c(32): Notify: Transaction "01_login" ended with a "Pass" status (Duration: 2,0839).	[MsgId: MMSG-16873]
Action.c(35): Notify: Transaction "02_my_page" started.	[MsgId: MMSG-16999]
Action.c(37): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(37): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(44): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(44): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(52): web_url("al_profile.php") started  	[MsgId: MMSG-26355]
Action.c(52): Error -35049: No match found for the requested parameter "hash". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 28.	[MsgId: MMSG-10545]
Action.c(23): To location "https://vk.com/login.php?act=slogin&to=&s=0&sid=6Le00B8TAAAAACHiybbHy8tMOiJhM5vh88JVtP4c&dif=2&email=inna67rus%40gmail.com"  	[MsgId: MMSG-26693]
Action.c(23): web_submit_form("login.vk.com") was successful, 354 body bytes, 1990 header bytes  	[MsgId: MMSG-26386]
Action.c(32): Notify: Transaction "01_login" ended with a "Pass" status (Duration: 0,4949 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Action.c(35): Notify: Transaction "02_my_page" started.	[MsgId: MMSG-16999]
Action.c(37): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(37): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(44): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(44): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(52): web_url("al_profile.php") started  	[MsgId: MMSG-26355]
Action.c(52): Error -35049: No match found for the requested parameter "hash". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 29.	[MsgId: MMSG-10545]
Action.c(23): To location "https://vk.com/login.php?act=slogin&to=&s=0&sid=6Le00B8TAAAAACHiybbHy8tMOiJhM5vh88JVtP4c&dif=2&email=inna67rus%40gmail.com"  	[MsgId: MMSG-26693]
Action.c(23): web_submit_form("login.vk.com") was successful, 354 body bytes, 1990 header bytes  	[MsgId: MMSG-26386]
Action.c(32): Notify: Transaction "01_login" ended with a "Pass" status (Duration: 0,3303 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Action.c(35): Notify: Transaction "02_my_page" started.	[MsgId: MMSG-16999]
Action.c(37): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(37): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(44): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(44): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(52): web_url("al_profile.php") started  	[MsgId: MMSG-26355]
Action.c(52): Error -35049: No match found for the requested parameter "hash". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 30.	[MsgId: MMSG-10545]
Action.c(23): To location "https://vk.com/login.php?act=slogin&to=&s=0&sid=6Le00B8TAAAAACHiybbHy8tMOiJhM5vh88JVtP4c&dif=2&email=inna67rus%40gmail.com"  	[MsgId: MMSG-26693]
Action.c(23): web_submit_form("login.vk.com") was successful, 354 body bytes, 1990 header bytes  	[MsgId: MMSG-26386]
Action.c(32): Notify: Transaction "01_login" ended with a "Pass" status (Duration: 0,4158 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Action.c(35): Notify: Transaction "02_my_page" started.	[MsgId: MMSG-16999]
Action.c(37): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(37): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(44): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(44): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(52): web_url("al_profile.php") started  	[MsgId: MMSG-26355]
Action.c(52): Error -35049: No match found for the requested parameter "hash". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 31.	[MsgId: MMSG-10545]
Action.c(23): To location "https://vk.com/login.php?act=slogin&to=&s=0&sid=6Le00B8TAAAAACHiybbHy8tMOiJhM5vh88JVtP4c&dif=2&email=inna67rus%40gmail.com"  	[MsgId: MMSG-26693]
Action.c(23): web_submit_form("login.vk.com") was successful, 354 body bytes, 1990 header bytes  	[MsgId: MMSG-26386]
Action.c(32): Notify: Transaction "01_login" ended with a "Pass" status (Duration: 0,9785 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Action.c(35): Notify: Transaction "02_my_page" started.	[MsgId: MMSG-16999]
Action.c(37): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(37): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(44): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(44): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(52): web_url("al_profile.php") started  	[MsgId: MMSG-26355]
Action.c(52): Error -35049: No match found for the requested parameter "hash". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 32.	[MsgId: MMSG-10545]
Action.c(23): To location "https://vk.com/login.php?act=slogin&to=&s=0&sid=6Le00B8TAAAAACHiybbHy8tMOiJhM5vh88JVtP4c&dif=2&email=inna67rus%40gmail.com"  	[MsgId: MMSG-26693]
Action.c(23): web_submit_form("login.vk.com") was successful, 354 body bytes, 1990 header bytes  	[MsgId: MMSG-26386]
Action.c(32): Notify: Transaction "01_login" ended with a "Pass" status (Duration: 0,8779 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Action.c(35): Notify: Transaction "02_my_page" started.	[MsgId: MMSG-16999]
Action.c(37): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(37): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(44): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(44): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(52): web_url("al_profile.php") started  	[MsgId: MMSG-26355]
Action.c(52): Error -35049: No match found for the requested parameter "hash". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 33.	[MsgId: MMSG-10545]
Action.c(23): To location "https://vk.com/login.php?act=slogin&to=&s=0&sid=6Le00B8TAAAAACHiybbHy8tMOiJhM5vh88JVtP4c&dif=2&email=inna67rus%40gmail.com"  	[MsgId: MMSG-26693]
Action.c(23): web_submit_form("login.vk.com") was successful, 354 body bytes, 1990 header bytes  	[MsgId: MMSG-26386]
Action.c(32): Notify: Transaction "01_login" ended with a "Pass" status (Duration: 0,3668 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Action.c(35): Notify: Transaction "02_my_page" started.	[MsgId: MMSG-16999]
Action.c(37): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(37): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(44): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(44): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(52): web_url("al_profile.php") started  	[MsgId: MMSG-26355]
Action.c(52): Error -35049: No match found for the requested parameter "hash". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


