Error: missing newline in C:\Users\InnaPush\Documents\VuGen\Scripts\wallnew\Text.dat	[MsgId: MERR-13874]


Start auto log messages stack - Iteration 61.	[MsgId: MMSG-10545]
Action.c(188): Notify: Transaction "02_page" started.	[MsgId: MMSG-16999]
Action.c(191): web_url("al_profile.php") started  	[MsgId: MMSG-26355]
Action.c(191): web_url("al_profile.php") was successful, 17020 body bytes, 365 header bytes  	[MsgId: MMSG-26386]
Action.c(202): Notify: Transaction "02_page" ended with a "Pass" status (Duration: 0,1077).	[MsgId: MMSG-16873]
Action.c(204): Notify: Transaction "03_wall" started.	[MsgId: MMSG-16999]
Action.c(207): web_submit_data("al_wall.php") started  	[MsgId: MMSG-26355]
Action.c(207): web_submit_data("al_wall.php") was successful, 56 body bytes, 362 header bytes  	[MsgId: MMSG-26386]
Action.c(223): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(223): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(225): web_submit_data("al_wall.php_2") started  	[MsgId: MMSG-26355]
Action.c(225): Error -26366: "Text=Test" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 63.	[MsgId: MMSG-10545]
Action.c(188): Notify: Transaction "02_page" started.	[MsgId: MMSG-16999]
Action.c(191): web_url("al_profile.php") started  	[MsgId: MMSG-26355]
Action.c(191): web_url("al_profile.php") was successful, 17072 body bytes, 365 header bytes  	[MsgId: MMSG-26386]
Action.c(202): Notify: Transaction "02_page" ended with a "Pass" status (Duration: 0,1992).	[MsgId: MMSG-16873]
Action.c(204): Notify: Transaction "03_wall" started.	[MsgId: MMSG-16999]
Action.c(207): web_submit_data("al_wall.php") started  	[MsgId: MMSG-26355]
Action.c(207): web_submit_data("al_wall.php") was successful, 56 body bytes, 362 header bytes  	[MsgId: MMSG-26386]
Action.c(223): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(223): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(225): web_submit_data("al_wall.php_2") started  	[MsgId: MMSG-26355]
Action.c(225): Error -26366: "Text=Test" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 54.	[MsgId: MMSG-10545]
Action.c(188): Notify: Transaction "02_page" started.	[MsgId: MMSG-16999]
Action.c(191): web_url("al_profile.php") started  	[MsgId: MMSG-26355]
Action.c(191): web_url("al_profile.php") was successful, 16081 body bytes, 365 header bytes  	[MsgId: MMSG-26386]
Action.c(202): Notify: Transaction "02_page" ended with a "Pass" status (Duration: 0,1305).	[MsgId: MMSG-16873]
Action.c(204): Notify: Transaction "03_wall" started.	[MsgId: MMSG-16999]
Action.c(207): web_submit_data("al_wall.php") started  	[MsgId: MMSG-26355]
Action.c(207): web_submit_data("al_wall.php") was successful, 56 body bytes, 362 header bytes  	[MsgId: MMSG-26386]
Action.c(223): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(223): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(225): web_submit_data("al_wall.php_2") started  	[MsgId: MMSG-26355]
Action.c(225): Error -26366: "Text=Test" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


